date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:53:18	7028/7028	---M--	200	added ('OK')	text/html	etag:W/%221b74-tuZ45GcQBuVX4EPXrIqYRwkX1KI%22	https://dfadiagram.herokuapp.com/	/Users/danielmenjivar/Documents/fsmFork/dfadiagram.herokuapp.com/index.html	(from )
12:53:18	149/149	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Jan%202020%2020:53:17%20GMT	https://dfadiagram.herokuapp.com/robots.txt		(from )
12:53:18	75/75	---M--	200	added ('OK')	text/css	etag:W/%224b-1605a7043b8%22	https://dfadiagram.herokuapp.com/assets/main.css	/Users/danielmenjivar/Documents/fsmFork/dfadiagram.herokuapp.com/assets/main.css	(from https://dfadiagram.herokuapp.com/)
12:53:20	18701/18701	---M--	200	added ('OK')	application/javascript	etag:W/%22490d-1605a7043b8%22	https://dfadiagram.herokuapp.com/assets/addons/p5.dom.min.js	/Users/danielmenjivar/Documents/fsmFork/dfadiagram.herokuapp.com/assets/addons/p5.dom.min.js	(from https://dfadiagram.herokuapp.com/)
12:53:22	126787/126787	---M--	200	added ('OK')	application/javascript	etag:W/%221ef43-1605a7043b8%22	https://dfadiagram.herokuapp.com/assets/addons/p5.sound.min.js	/Users/danielmenjivar/Documents/fsmFork/dfadiagram.herokuapp.com/assets/addons/p5.sound.min.js	(from https://dfadiagram.herokuapp.com/)
12:53:22	1070/1070	---M--	200	added ('OK')	application/javascript	etag:W/%2242e-1605a7043b8%22	https://dfadiagram.herokuapp.com/assets/Class/DFA/DFA.js	/Users/danielmenjivar/Documents/fsmFork/dfadiagram.herokuapp.com/assets/Class/DFA/DFA.js	(from https://dfadiagram.herokuapp.com/)
12:53:23	1186147/1186147	---M--	200	added ('OK')	application/javascript	etag:W/%22121963-1605a7043b8%22	https://dfadiagram.herokuapp.com/assets/p5.min.js	/Users/danielmenjivar/Documents/fsmFork/dfadiagram.herokuapp.com/assets/p5.min.js	(from https://dfadiagram.herokuapp.com/)
12:53:23	2467/2467	---M--	200	added ('OK')	application/javascript	etag:W/%229a3-1605a7043b8%22	https://dfadiagram.herokuapp.com/assets/Class/Graphics/StateCircle.js	/Users/danielmenjivar/Documents/fsmFork/dfadiagram.herokuapp.com/assets/Class/Graphics/StateCircle.js	(from https://dfadiagram.herokuapp.com/)
12:53:24	307/307	---M--	200	added ('OK')	application/javascript	etag:W/%22133-1605a7043b8%22	https://dfadiagram.herokuapp.com/assets/Class/Graphics/GraphicsItem.js	/Users/danielmenjivar/Documents/fsmFork/dfadiagram.herokuapp.com/assets/Class/Graphics/GraphicsItem.js	(from https://dfadiagram.herokuapp.com/)
12:53:25	2408/2408	---M--	200	added ('OK')	application/javascript	etag:W/%22968-1605a7043b8%22	https://dfadiagram.herokuapp.com/assets/Class/Graphics/curves.js	/Users/danielmenjivar/Documents/fsmFork/dfadiagram.herokuapp.com/assets/Class/Graphics/curves.js	(from https://dfadiagram.herokuapp.com/)
12:53:26	4496/4496	---M--	200	added ('OK')	application/javascript	etag:W/%221190-1605a7043b8%22	https://dfadiagram.herokuapp.com/assets/Class/Graphics/StateArc.js	/Users/danielmenjivar/Documents/fsmFork/dfadiagram.herokuapp.com/assets/Class/Graphics/StateArc.js	(from https://dfadiagram.herokuapp.com/)
12:53:27	4798/4798	---M--	200	added ('OK')	application/javascript	etag:W/%2212be-1605a7043b8%22	https://dfadiagram.herokuapp.com/assets/Class/DFA/DFADrawer.js	/Users/danielmenjivar/Documents/fsmFork/dfadiagram.herokuapp.com/assets/Class/DFA/DFADrawer.js	(from https://dfadiagram.herokuapp.com/)
12:53:28	3691/3691	---M--	200	added ('OK')	application/javascript	etag:W/%22e6b-1605a7043b8%22	https://dfadiagram.herokuapp.com/assets/Class/DFA/DFAChecker.js	/Users/danielmenjivar/Documents/fsmFork/dfadiagram.herokuapp.com/assets/Class/DFA/DFAChecker.js	(from https://dfadiagram.herokuapp.com/)
12:53:29	3209/3209	---M--	200	added ('OK')	application/javascript	etag:W/%22c89-1605a7043b8%22	https://dfadiagram.herokuapp.com/assets/Sketch/DFA/sketch.js	/Users/danielmenjivar/Documents/fsmFork/dfadiagram.herokuapp.com/assets/Sketch/DFA/sketch.js	(from https://dfadiagram.herokuapp.com/)
12:53:30	3371/3371	---M--	200	added ('OK')	application/javascript	etag:W/%22d2b-1605a7043b8%22	https://dfadiagram.herokuapp.com/assets/Backend/DFASettingsHandler.js	/Users/danielmenjivar/Documents/fsmFork/dfadiagram.herokuapp.com/assets/Backend/DFASettingsHandler.js	(from https://dfadiagram.herokuapp.com/)
12:53:31	635/635	---M--	200	added ('OK')	application/javascript	etag:W/%2227b-1605a7043b8%22	https://dfadiagram.herokuapp.com/assets/Backend/InputHandler.js	/Users/danielmenjivar/Documents/fsmFork/dfadiagram.herokuapp.com/assets/Backend/InputHandler.js	(from https://dfadiagram.herokuapp.com/)
